5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Lane 6 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/09/2015 17:25	119	111	103	101	110	94	638	6	100
11/09/2015 17:30	113	121	100	110	101	110	655	6	100
11/09/2015 17:35	109	97	87	83	80	79	535	6	100
11/09/2015 17:40	103	97	89	79	79	57	504	6	100
11/09/2015 17:45	113	96	101	105	103	73	591	6	100
11/09/2015 17:50	96	87	89	90	90	113	565	6	100
11/09/2015 17:55	109	93	70	93	86	111	562	6	100
11/09/2015 18:00	113	107	106	97	101	103	627	6	100
11/09/2015 18:05	136	117	114	106	101	103	677	6	100
11/09/2015 18:10	110	99	79	74	83	106	551	6	100
11/09/2015 18:15	114	111	113	104	104	99	645	6	100
11/09/2015 18:20	121	114	74	77	83	97	566	6	100
11/09/2015 18:25	126	97	89	87	96	97	592	6	100
11/09/2015 18:30	130	140	120	96	99	96	681	6	100
11/09/2015 18:35	117	113	107	96	101	104	638	6	100
11/09/2015 18:40	94	100	101	147	131	61	634	6	100
11/09/2015 18:45	91	103	107	140	159	61	661	6	100
11/09/2015 18:50	80	81	104	146	156	49	616	6	100
11/09/2015 18:55	91	90	103	149	143	46	622	6	100
11/09/2015 19:00	89	77	97	139	130	51	583	6	100
11/09/2015 19:05	81	88	96	121	129	43	558	6	100
11/09/2015 19:10	57	100	100	150	166	37	610	6	100
11/09/2015 19:15	86	101	101	141	141	35	605	6	100
11/09/2015 19:20	100	97	103	140	133	27	600	6	100
11/09/2015 19:25	89	96	119	169	159	46	678	6	100
11/09/2015 19:30	109	116	117	163	154	40	699	6	100
11/09/2015 19:35	113	129	111	160	151	54	718	6	100
11/09/2015 19:40	106	114	109	161	141	59	690	6	100
11/09/2015 19:45	116	126	131	163	151	29	716	6	100
11/09/2015 19:50	100	106	95	146	154	30	631	6	100
11/09/2015 19:55	99	110	116	149	141	43	658	6	100
11/09/2015 20:00	84	84	94	125	118	26	531	6	100
11/09/2015 20:05	76	103	101	139	126	14	559	6	100
11/09/2015 20:10	93	81	96	120	127	24	541	6	100
11/09/2015 20:15	76	86	93	100	126	10	491	6	100
11/09/2015 20:20	94	86	93	136	117	19	545	6	100
11/09/2015 20:25	91	80	86	120	116	21	514	6	100
11/09/2015 20:30	87	90	93	126	116	20	532	6	100
11/09/2015 20:35	80	86	79	103	109	16	473	6	100
11/09/2015 20:40	109	86	113	133	123	11	575	6	100
11/09/2015 20:45	80	86	80	119	103	14	482	6	100
11/09/2015 20:50	89	90	77	124	116	19	515	6	100
11/09/2015 20:55	93	97	103	121	121	21	556	6	100
11/09/2015 21:00	93	96	87	106	104	17	503	6	100
11/09/2015 21:05	77	87	86	103	106	13	472	6	100
11/09/2015 21:10	59	74	74	110	120	24	461	6	100
11/09/2015 21:15	71	86	68	104	115	19	463	6	100
11/09/2015 21:20	79	84	76	113	100	30	482	6	100
11/09/2015 21:25	87	84	76	114	100	26	487	6	100
11/09/2015 21:30	90	70	79	127	103	27	496	6	100
11/09/2015 21:35	66	84	83	93	103	17	446	6	100
11/09/2015 21:40	61	87	74	120	126	21	489	6	100
11/09/2015 21:45	90	77	89	130	103	26	515	6	100
11/09/2015 21:50	71	57	77	114	79	16	414	6	100
11/09/2015 21:55	57	70	70	103	91	16	407	6	100
11/09/2015 22:00	59	67	76	74	87	9	372	6	100
11/09/2015 22:05	43	76	71	98	79	13	380	6	100
11/09/2015 22:10	54	67	71	113	103	20	428	6	100
11/09/2015 22:15	69	80	76	101	93	16	435	6	100
11/09/2015 22:20	73	71	76	93	96	17	426	6	100
11/09/2015 22:25	53	69	64	101	73	9	369	6	100
11/09/2015 22:30	59	60	46	80	61	17	323	6	100
11/09/2015 22:35	63	61	74	87	77	7	369	6	100
11/09/2015 22:40	44	52	57	61	57	11	282	6	100
11/09/2015 22:45	37	54	57	63	54	11	276	6	100
11/09/2015 22:50	50	56	59	81	93	3	342	6	100
11/09/2015 22:55	34	34	39	61	49	11	228	6	100
11/09/2015 23:00	30	54	51	67	59	13	274	6	100
11/09/2015 23:05	39	51	49	81	60	6	286	6	100
11/09/2015 23:10	44	66	50	80	67	4	311	6	100
11/09/2015 23:15	30	37	39	69	59	4	238	6	100
11/09/2015 23:20	33	43	41	63	47	9	236	6	100
11/09/2015 23:25	31	53	47	51	49	7	238	6	100
11/09/2015 23:30	39	36	46	59	33	6	219	6	100
