5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Lane 6 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/09/2015 21:50	24	38	22	26	38	32	180	6	100
11/09/2015 21:55	27	35	21	29	34	25	171	6	100
11/09/2015 22:00	17	30	21	27	32	27	154	6	100
11/09/2015 22:05	31	39	29	33	28	27	187	6	100
11/09/2015 22:10	19	28	18	33	27	37	162	6	100
11/09/2015 22:15	28	33	17	26	22	30	156	6	100
11/09/2015 22:20	18	30	12	20	21	17	118	6	100
11/09/2015 22:25	20	21	22	20	29	31	143	6	100
11/09/2015 22:30	17	28	16	14	29	19	123	6	100
11/09/2015 22:35	19	25	22	19	25	24	134	6	100
11/09/2015 22:40	13	18	12	17	27	20	107	6	100
11/09/2015 22:45	17	22	21	26	33	25	144	6	100
11/09/2015 22:50	17	24	16	11	18	26	112	6	100
11/09/2015 22:55	21	34	21	14	40	21	151	6	100
11/09/2015 23:00	16	25	15	20	37	25	138	6	100
11/09/2015 23:05	19	28	14	15	24	19	119	6	100
11/09/2015 23:10	13	27	24	14	31	24	133	6	100
11/09/2015 23:15	15	17	15	14	22	17	100	6	100
11/09/2015 23:20	9	24	13	14	14	17	91	6	100
11/09/2015 23:25	12	14	9	10	17	17	79	6	100
11/09/2015 23:30	9	14	12	19	17	20	91	6	100
11/09/2015 23:35	10	14	8	14	16	16	78	6	100
11/09/2015 23:40	11	23	21	11	20	14	100	6	100
11/09/2015 23:45	16	15	16	8	21	7	83	6	100
11/09/2015 23:50	14	24	12	7	17	12	86	6	100
11/09/2015 23:55	5	13	8	6	10	6	48	6	100
11/10/2015 00:00	6	12	23	9	20	7	77	6	100
11/10/2015 00:05	3	14	9	11	17	9	63	6	100
11/10/2015 00:10	8	13	9	4	13	5	52	6	100
11/10/2015 00:15	5	10	13	8	13	3	52	6	100
11/10/2015 00:20	5	14	10	8	13	11	61	6	100
11/10/2015 00:25	7	12	7	12	6	12	56	6	100
11/10/2015 00:30	4	15	7	6	14	9	55	6	100
11/10/2015 00:35	4	6	8	6	12	10	46	6	100
11/10/2015 00:40	6	8	7	8	12	14	55	6	100
11/10/2015 00:45	3	6	6	9	7	2	33	6	100
11/10/2015 00:50	8	10	10	5	7	6	46	6	100
11/10/2015 00:55	5	10	15	3	1	8	42	6	100
11/10/2015 01:00	1	7	7	5	9	4	33	6	100
11/10/2015 01:05	4	10	6	6	5	12	43	6	100
11/10/2015 01:10	6	11	6	6	8	3	40	6	100
11/10/2015 01:15	2	11	6	3	12	4	38	6	100
11/10/2015 01:20	1	12	6	3	8	5	35	6	100
11/10/2015 01:25	4	4	6	1	8	2	25	6	100
11/10/2015 01:30	6	7	7	2	4	5	31	6	100
11/10/2015 01:35	4	11	8	10	5	5	43	6	100
11/10/2015 01:40	9	8	11	13	9	11	61	6	100
11/10/2015 01:45	10	14	8	6	6	2	46	6	100
11/10/2015 01:50	7	10	7	3	10	4	41	6	100
11/10/2015 01:55	4	10	9	8	11	2	44	6	100
11/10/2015 02:00	2	5	8	3	5	6	29	6	100
11/10/2015 02:05	3	5	5	4	6	4	27	6	100
11/10/2015 02:10	5	8	10	6	9	7	45	6	100
11/10/2015 02:15	7	6	10	4	4	7	38	6	100
11/10/2015 02:20	7	6	6	7	6	4	36	6	100
11/10/2015 02:25	2	7	9	5	5	4	32	6	100
11/10/2015 02:30	4	4	6	4	6	10	34	6	100
11/10/2015 02:35	4	9	9	7	9	4	42	6	100
11/10/2015 02:40	6	13	8	11	7	6	51	6	100
11/10/2015 02:45	3	10	11	7	6	4	41	6	100
11/10/2015 02:50	5	10	10	11	11	3	50	6	100
11/10/2015 02:55	8	12	15	3	12	7	57	6	100
11/10/2015 03:00	9	14	7	7	5	2	44	6	100
11/10/2015 03:05	10	16	13	6	11	5	61	6	100
11/10/2015 03:10	2	16	14	8	15	6	61	6	100
11/10/2015 03:15	11	17	7	9	12	7	63	6	100
11/10/2015 03:20	8	12	15	5	8	5	53	6	100
11/10/2015 03:25	11	17	12	7	13	5	65	6	100
11/10/2015 03:30	11	22	12	6	7	6	64	6	100
11/10/2015 03:35	10	16	17	10	13	9	75	6	100
11/10/2015 03:40	13	19	12	13	12	9	78	6	100
11/10/2015 03:45	19	28	17	13	16	11	104	6	100
11/10/2015 03:50	19	26	18	12	15	7	97	6	100
11/10/2015 03:55	17	28	14	14	12	8	93	6	100
11/10/2015 04:00	17	30	20	10	20	4	101	6	100
11/10/2015 04:05	23	29	20	20	20	6	118	6	100
11/10/2015 04:10	35	42	21	17	19	11	145	6	100
11/10/2015 04:15	35	38	24	21	22	13	153	6	100
11/10/2015 04:20	51	40	33	18	31	14	187	6	100
11/10/2015 04:25	40	52	30	21	28	17	188	6	100
11/10/2015 04:30	46	50	31	25	38	24	214	6	100
11/10/2015 04:35	56	52	35	33	32	8	216	6	100
11/10/2015 04:40	76	86	55	38	45	20	320	6	100
11/10/2015 04:45	61	67	43	40	36	22	269	6	100
11/10/2015 04:50	65	67	44	46	37	30	289	6	100
11/10/2015 04:55	100	75	47	55	37	22	336	6	100
11/10/2015 05:00	92	89	48	55	39	29	352	6	100
11/10/2015 05:05	105	86	75	60	56	33	415	6	100
11/10/2015 05:10	112	104	63	73	70	40	462	6	100
11/10/2015 05:15	147	122	76	96	70	55	566	6	100
11/10/2015 05:20	149	127	88	85	84	68	601	6	100
11/10/2015 05:25	141	125	91	96	89	63	605	6	100
11/10/2015 05:30	144	146	92	112	90	79	663	6	100
11/10/2015 05:35	112	137	111	98	110	103	671	6	100
11/10/2015 05:40	110	128	82	111	99	138	668	6	100
11/10/2015 05:45	95	119	78	100	96	117	605	6	100
11/10/2015 05:50	106	107	64	94	107	107	585	6	100
11/10/2015 05:55	83	102	65	81	75	94	500	6	100
11/10/2015 06:00	90	107	80	82	66	82	507	6	100
11/10/2015 06:05	88	106	83	79	67	59	482	6	100
11/10/2015 06:10	87	81	64	85	69	64	450	6	100
11/10/2015 06:15	86	83	80	63	73	55	440	6	100
11/10/2015 06:20	83	83	83	77	70	49	445	6	100
11/10/2015 06:25	80	94	53	80	67	49	423	6	100
11/10/2015 06:30	96	104	82	72	74	53	481	6	100
11/10/2015 06:35	90	107	78	93	78	55	501	6	100
11/10/2015 06:40	104	92	72	81	72	62	483	6	100
11/10/2015 06:45	96	97	74	91	87	64	509	6	100
11/10/2015 06:50	98	92	82	88	76	62	498	6	100
11/10/2015 06:55	80	93	72	94	73	58	470	6	100
11/10/2015 07:00	99	97	73	93	78	59	499	6	100
11/10/2015 07:05	95	109	81	85	83	67	520	6	100
11/10/2015 07:10	97	105	74	94	80	71	521	6	100
11/10/2015 07:15	87	95	91	101	75	68	517	6	100
11/10/2015 07:20	115	114	89	85	67	72	542	6	100
11/10/2015 07:25	88	92	71	93	70	60	474	6	100
11/10/2015 07:30	95	103	80	94	85	70	527	6	100
11/10/2015 07:35	102	93	94	94	89	74	546	6	100
11/10/2015 07:40	100	94	89	90	86	66	525	6	100
11/10/2015 07:45	110	92	75	79	61	46	463	6	100
11/10/2015 07:50	109	108	90	99	79	75	560	6	100
11/10/2015 07:55	105	105	82	86	78	57	513	6	100
11/10/2015 08:00	93	105	82	83	62	71	496	6	100
11/10/2015 08:05	85	112	86	80	69	55	487	6	100
11/10/2015 08:10	83	86	76	74	69	58	446	6	100
11/10/2015 08:15	98	81	83	86	71	57	476	6	100
11/10/2015 08:20	86	101	77	81	77	70	492	6	100
11/10/2015 08:25	104	103	68	87	77	60	499	6	100
11/10/2015 08:30	98	84	61	78	76	54	451	6	100
11/10/2015 08:35	96	95	69	73	77	61	471	6	100
11/10/2015 08:40	86	95	71	75	63	57	447	6	100
11/10/2015 08:45	88	81	61	82	71	58	441	6	100
11/10/2015 08:50	73	90	69	65	82	72	451	6	100
11/10/2015 08:55	91	99	82	70	76	77	495	6	100
11/10/2015 09:00	63	82	64	68	71	66	414	6	100
11/10/2015 09:05	78	79	70	58	70	59	414	6	100
11/10/2015 09:10	83	94	76	78	77	64	472	6	100
11/10/2015 09:15	66	95	75	86	80	66	468	6	100
11/10/2015 09:20	68	85	77	75	81	55	441	6	100
11/10/2015 09:25	98	93	75	64	80	75	485	6	100
11/10/2015 09:30	71	99	72	74	91	64	471	6	100
11/10/2015 09:35	84	88	75	88	74	72	481	6	100
11/10/2015 09:40	91	97	76	85	89	77	515	6	100
11/10/2015 09:45	77	81	82	68	77	70	455	6	100
11/10/2015 09:50	94	107	66	57	69	63	456	6	100
11/10/2015 09:55	82	84	55	73	63	83	440	6	100
11/10/2015 10:00	81	103	65	77	71	69	466	6	100
11/10/2015 10:05	75	101	67	83	76	64	466	6	100
11/10/2015 10:10	74	75	61	68	74	57	409	6	100
11/10/2015 10:15	72	75	74	74	58	56	409	6	100
11/10/2015 10:20	71	92	69	82	71	77	462	6	100
11/10/2015 10:25	70	78	66	65	84	64	427	6	100
11/10/2015 10:30	66	86	62	78	84	70	446	6	100
11/10/2015 10:35	71	89	65	77	62	65	429	6	100
11/10/2015 10:40	65	86	72	87	92	74	476	6	100
11/10/2015 10:45	82	90	65	100	88	82	507	6	100
11/10/2015 10:50	77	92	73	66	72	70	450	6	100
11/10/2015 10:55	80	83	53	69	78	60	423	6	100
11/10/2015 11:00	79	89	63	73	81	71	456	6	100
11/10/2015 11:05	74	76	67	64	79	74	434	6	100
11/10/2015 11:10	75	77	84	76	84	67	463	6	100
11/10/2015 11:15	71	74	70	58	66	65	404	6	100
11/10/2015 11:20	73	75	62	51	95	67	423	6	100
11/10/2015 11:25	62	75	70	57	79	71	414	6	100
11/10/2015 11:30	68	76	79	76	75	72	446	6	100
11/10/2015 11:35	65	71	76	68	86	96	462	6	100
11/10/2015 11:40	59	83	74	68	78	82	444	6	100
11/10/2015 11:45	73	77	68	71	76	72	437	6	100
11/10/2015 11:50	69	81	70	71	97	96	484	6	100
11/10/2015 11:55	64	75	64	81	76	67	427	6	100
11/10/2015 12:00	63	80	59	84	71	79	436	6	100
